Name,Age,Gender,Country,State,City,Parental_Education_Level,Earning Class,Level,Course Name,Course Level,Material Level,Previous_Scores,Assesment Score,IQ,Attendance,Material Name,recommended_material,Study Time,promoted
Alexandra Atkins,11,Male,Heard Island and McDonald Islands,Michigan,Angelaberg,College,Medium,Middle School,"World History, Instruments and Composition, Exploring Literature and Writing",High,High,88,68,100.8,80,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.08,No
John Adkins,10,Male,Saint Pierre and Miquelon,South Carolina,South Rubenport,High School,Low,Elementary,"Stories of the Past, Discovering Nature and Science, Introduction to Computers",High,High,87,71,103.05,97,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.26,Yes
Michael Wheeler,5,Male,Madagascar,Florida,Summersport,High School,Medium,Kindergarten,"My Family and Community, Creative Coloring, Exploring the World",Medium,Medium,97,70,106.65,83,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.2,Yes
Matthew Thornton,18,Male,Bangladesh,Indiana,North William,Postgraduate,Medium,High School,"Calculus, Economics, Career Planning",Medium,Medium,72,66,91.8,82,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Rebecca Johnson,6,Male,Austria,Arizona,Luisbury,Postgraduate,Low,Kindergarten,"Fun with Letters, Rhythm and Rhyme, Play and Learn",Medium,High,74,65,91.8,78,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.9,No
Margaret Hardy DDS,6,Female,Indonesia,Mississippi,Brownburgh,High School,Medium,Kindergarten,"My Family and Community, Numbers Around Us, Creative Coloring",Medium,Medium,70,64,89.10000000000001,68,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.84,No
David Wells,5,Male,Namibia,Ohio,Warrenhaven,College,High,Kindergarten,"My Family and Community, Creative Coloring, Fun with Letters",Medium,Low,65,60,83.25,60,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.6,No
Gregory Foster,11,Female,Algeria,Maine,Jessicaton,High School,Low,Middle School,"Instruments and Composition, Exploring Literature and Writing, Robotics",High,Medium,82,65,95.4,70,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.9,No
Noah Davis,15,Female,El Salvador,Rhode Island,Duncanstad,College,Low,High School,"Advanced Literature and Composition, Cultural and Political Geography, Chemistry",Medium,Medium,91,67,101.25,80,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.02,No
Christy Murphy,17,Male,Barbados,Michigan,New Mark,College,Medium,High School,"Environmental Science, Algebra II, Psychology",Medium,High,58,66,85.5,75,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Lisa Gomez,16,Female,Bulgaria,Delaware,Kingfurt,High School,High,High School,"Trigonometry, Web Development, Biology",Medium,Medium,99,69,106.65,78,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.14,Yes
Michael Fox,5,Male,Tonga,Hawaii,Lake Rachelberg,High School,Medium,Kindergarten,"Rhythm and Rhyme, Exploring the World, My Family and Community",High,High,84,72,102.6,99,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.32,Yes
Robert Anderson,16,Female,Poland,Montana,East Cody,College,Medium,High School,"Data Science Basics, Calculus, Economics",Medium,High,89,66,99.45,74,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.96,No
Amy Ramos,5,Male,Poland,Nevada,Longmouth,High School,Low,Kindergarten,"My Family and Community, Play and Learn, Numbers Around Us",Medium,Medium,100,66,104.4,78,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.96,No
Anna Powell,14,Female,Bolivia,Idaho,Cruzborough,High School,Low,High School,"Career Planning, Cultural and Political Geography, SAT/ACT Prep",Medium,High,75,63,90.45,65,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.78,No
Christopher Phillips,13,Male,Netherlands,West Virginia,East Rhonda,Postgraduate,High,Middle School,"Fitness and Health, Robotics, World History",High,Low,54,64,81.9,62,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.84,No
Jeremiah Adams,9,Female,Norfolk Island,New Hampshire,West Sarah,High School,High,Elementary,"Building Math Foundations, Discovering Nature and Science, Introduction to Computers",Medium,Medium,90,65,99.0,91,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.9,No
Margaret Parker,7,Male,Gabon,Oklahoma,Port Mathewburgh,College,High,Elementary,"Introduction to Computers, Building Math Foundations, Sports and Games",Medium,High,94,71,106.2,83,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.26,Yes
Richard Hamilton,6,Female,Cambodia,Massachusetts,North Traceyville,High School,Low,Kindergarten,"Fun with Letters, My Family and Community, Numbers Around Us",Medium,Medium,58,66,85.5,90,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.96,No
Kenneth Winters,12,Male,Canada,Texas,Johnland,College,Low,Middle School,"World History, Exploring the World, Fitness and Health",Medium,High,51,64,80.55,66,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.84,No
Mr. John Henry,5,Female,Portugal,Kansas,Jamesburgh,High School,High,Kindergarten,"Fun with Letters, Exploring the World, Numbers Around Us",Low,Medium,57,63,82.35000000000001,83,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.78,No
Christina Green,5,Male,Netherlands,Texas,Michaelchester,College,High,Kindergarten,"My Family and Community, Numbers Around Us, Rhythm and Rhyme",Medium,High,66,69,91.8,70,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.14,No
Ashley Chan,9,Male,Bolivia,Connecticut,South Rachel,High School,Medium,Elementary,"Art and Imagination, Fun with Languages, Introduction to Computers",High,Medium,96,67,103.5,69,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Lynn Turner,10,Female,Sudan,Arizona,Martinezmouth,College,Medium,Elementary,"Reading Adventures, Building Math Foundations, Art and Imagination",Medium,Medium,50,61,77.4,60,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.66,No
Morgan Thomas,15,Female,Bahrain,Maine,Lake Jason,College,Medium,High School,"Cultural and Political Geography, Career Planning, Data Science Basics",Medium,Medium,90,68,101.7,65,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.08,No
Anthony Parker,13,Male,Burundi,Vermont,Gallowaytown,High School,Low,Middle School,"Robotics, Coding for Beginners, Algebra Basics",Medium,Medium,93,61,96.75,72,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.66,No
Kathryn Lee,6,Female,French Southern Territories,Wisconsin,Lake Suzannestad,High School,Medium,Kindergarten,"Numbers Around Us, Play and Learn, Exploring the World",High,Low,91,64,98.55,65,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.84,No
Stephanie Li,16,Female,Egypt,Pennsylvania,North Katiebury,Postgraduate,Low,High School,"SAT/ACT Prep, Career Planning, Chemistry",Medium,Medium,54,67,84.60000000000001,99,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.02,No
Kevin Dunlap,13,Female,Switzerland,New Jersey,Richardsonfort,High School,Low,Middle School,"Robotics, Instruments and Composition, Algebra Basics",Medium,Medium,84,63,94.5,72,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.78,No
Christian Murray,18,Male,Togo,Wisconsin,Piercebury,High School,Medium,High School,"Career Planning, Environmental Science, Web Development",High,Medium,98,64,101.7,65,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.84,No
Michael Mcdonald,8,Male,Tanzania,Idaho,West Ericmouth,College,High,Elementary,"Fun with Languages, Stories of the Past, Introduction to Computers",High,Medium,56,67,85.5,68,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Michael Wyatt,8,Female,Paraguay,Massachusetts,Pottsstad,College,Medium,Elementary,"Stories of the Past, Building Math Foundations, Discovering Nature and Science",High,Medium,52,65,81.9,84,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.9,No
Nicolas Young,12,Male,Ukraine,Kansas,New Amy,High School,Medium,Middle School,"Robotics, World History, Coding for Beginners",Medium,High,94,64,99.9,63,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.84,No
Melissa Shaffer,17,Male,Serbia,Utah,Johnsonburgh,College,Medium,High School,"Geometry, Economics, SAT/ACT Prep",Medium,High,82,70,99.9,94,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.2,Yes
Jose Rodriguez,18,Male,Zimbabwe,Oregon,Littleland,Postgraduate,Medium,High School,"Career Planning, Algebra II, Biology",Medium,Medium,82,68,98.1,98,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.08,No
Rebecca Mcdonald,17,Male,Brunei Darussalam,Florida,West Timothy,High School,Medium,High School,"Geometry, Chemistry, Physics",Medium,Medium,98,65,102.6,70,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.9,No
Natalie Williams,11,Female,Tanzania,Missouri,West Robert,College,Medium,Middle School,"Exploring the World, World History, Exploring Literature and Writing",High,Medium,88,68,100.8,78,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.08,No
Deanna Stevens,12,Female,Libyan Arab Jamahiriya,West Virginia,Brandonview,High School,Low,Middle School,"Coding for Beginners, Introduction to Physics, Chemistry, and Biology, Robotics",Medium,Low,70,64,89.10000000000001,61,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.84,No
Alexis White,6,Male,Egypt,Massachusetts,Jacksonview,High School,Low,Kindergarten,"Play and Learn, Exploring the World, Fun with Letters",High,Medium,72,68,93.6,86,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.08,No
Christine Washington,11,Male,Jamaica,Colorado,South Cassandraport,High School,Medium,Middle School,"Exploring Literature and Writing, Coding for Beginners, Exploring the World",High,Medium,57,63,82.35000000000001,77,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.78,No
David Hinton,15,Male,Bahamas,Alabama,East Lisaside,College,Medium,High School,"Physics, Calculus, Cultural and Political Geography",Low,Medium,65,64,86.85000000000001,71,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",3.84,No
Nathan Cole,12,Male,Panama,Kansas,Lake Geoffrey,College,Medium,Middle School,"Exploring the World, Introduction to Physics, Chemistry, and Biology, Robotics",Medium,Medium,72,64,90.0,68,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",3.84,No
Natalie Brennan,11,Male,Iraq,Indiana,North Austinville,High School,Medium,Middle School,"Exploring the World, Introduction to Physics, Chemistry, and Biology, Exploring Literature and Writing",Medium,Medium,63,67,88.65,86,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.02,No
Susan Perez,9,Female,French Guiana,Nebraska,East Brianview,High School,Medium,Elementary,"Fun with Languages, Discovering Nature and Science, Introduction to Computers",Medium,Low,96,67,103.5,77,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Alan Jimenez,5,Female,Pakistan,Florida,Watersside,Postgraduate,High,Kindergarten,"Exploring the World, Play and Learn, Creative Coloring",High,High,51,66,82.35000000000001,67,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.96,No
Michele Ryan,16,Male,Austria,Connecticut,Kimberlyburgh,College,Low,High School,"Calculus, Business Studies, Geometry",High,High,79,72,100.35,88,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.32,Yes
Jessica White,5,Female,Senegal,Ohio,Port Jackfurt,High School,Medium,Kindergarten,"Creative Coloring, Play and Learn, My Family and Community",High,High,89,65,98.55,83,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.9,No
Tracey Perry,15,Male,Korea,Wisconsin,Gloverbury,High School,Medium,High School,"Environmental Science, Cultural and Political Geography, Career Planning",Medium,Medium,87,71,103.05,94,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.26,Yes
Richard Melton,7,Female,Korea,Alabama,New Paula,Postgraduate,Medium,Elementary,"Stories of the Past, Fun with Languages, Introduction to Computers",High,Low,82,66,96.3,65,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.96,No
Lawrence Jenkins,13,Male,Iraq,Nebraska,Emmaville,High School,Low,Middle School,"Introduction to Physics, Chemistry, and Biology, World History, Algebra Basics",Medium,Low,71,68,93.15,91,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.08,No
Megan Guzman,8,Female,British Virgin Islands,Nebraska,Freemanton,Postgraduate,High,Elementary,"Reading Adventures, Art and Imagination, Building Math Foundations",Medium,Medium,96,70,106.2,87,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.2,Yes
Maria Howard,7,Male,Saint Kitts and Nevis,Florida,Yvonneshire,High School,Low,Elementary,"Art and Imagination, Building Math Foundations, Stories of the Past",Medium,Medium,66,62,85.5,65,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",3.72,No
Chelsea Johnson,14,Male,Bouvet Island (Bouvetoya),North Dakota,New Leahmouth,Postgraduate,Low,High School,"Trigonometry, Algebra II, Data Science Basics",High,High,88,68,100.8,88,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.08,No
Tonya Martinez,7,Male,Myanmar,Nebraska,Jameschester,College,Low,Elementary,"Introduction to Computers, Sports and Games, Stories of the Past",Medium,High,96,67,103.5,78,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.02,No
Julie Jones,13,Male,Syrian Arab Republic,Michigan,West Patriciahaven,Postgraduate,Medium,Middle School,"Coding for Beginners, Robotics, Instruments and Composition",High,High,56,71,89.10000000000001,98,"Reference Books, Online Courses, Project Kits, Lab Manuals","CK-12 Interactive Learning - https://www.ck12.org/, NASA STEM Engagement - https://www.nasa.gov/stem/, Quizlet Study Sets - https://quizlet.com/",4.26,No
Lisa Hopkins,14,Male,Uganda,Nebraska,Sergioshire,High School,Medium,High School,"Modern History and Civics, Advanced Literature and Composition, Chemistry",Medium,High,97,68,104.85,66,"Advanced Textbooks, Research Papers, Online Certifications, Programming Tutorials","Harvard Online Courses - https://online-learning.harvard.edu/, Stanford Online - https://online.stanford.edu/, Coursera Courses - https://www.coursera.org/",4.08,No
Christopher Jones,9,Male,Gibraltar,South Carolina,Donnabury,Postgraduate,Low,Elementary,"Introduction to Computers, Stories of the Past, Reading Adventures",Medium,Medium,89,69,102.15,86,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.14,Yes
Virginia Baxter,5,Male,Guinea-Bissau,Hawaii,Lake Jacqueline,High School,Medium,Kindergarten,"Numbers Around Us, Creative Coloring, Rhythm and Rhyme",High,High,81,70,99.45,75,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.2,No
Justin Davis,5,Female,Afghanistan,New Hampshire,North Rebecca,High School,Low,Kindergarten,"Exploring the World, Creative Coloring, Play and Learn",High,High,69,69,93.15,98,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.14,No
Tammy Chen,6,Male,Cambodia,South Carolina,Ericton,College,Low,Kindergarten,"Creative Coloring, Play and Learn, Fun with Letters",Medium,Medium,95,65,101.25,73,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",3.9,No
Sean Carr,5,Female,Greece,West Virginia,Port Jessicafurt,College,Medium,Kindergarten,"Fun with Letters, Numbers Around Us, Rhythm and Rhyme",Medium,Low,52,70,86.4,98,"Storybooks, Flashcards, Interactive Games, Coloring Sheets","PBS Kids Learning Games - https://pbskids.org/, Sesame Street Learning - https://www.sesamestreet.org/, National Geographic Kids - https://kids.nationalgeographic.com/",4.2,No
Bethany Davis,7,Male,Tuvalu,Kansas,East Crystal,High School,Low,Elementary,"Fun with Languages, Stories of the Past, Introduction to Computers",Medium,Low,72,71,96.3,96,"Textbooks, Workbooks, Educational Apps, Science Kits","Adventure Academy - https://www.adventureacademy.com/, Scholastic Learn at Home - https://classroommagazines.scholastic.com/, CoolMath4Kids - https://www.coolmath4kids.com/",4.26,Yes
